Symbol,Sector,industry
CSU,Health Care,Hospital/Nursing Management
BXMT,Consumer Services,Real Estate Investment Trusts
CAP.U,,
CPRI,Consumer Non-Durables,Apparel
CPSR,Finance,Business Services
CPSR.U,,
CPSR.WS,,
CMO,Consumer Services,Real Estate Investment Trusts
CMO^E,,
CAH,Health Care,Other Pharmaceuticals
CSL,Basic Industries,Specialty Chemicals
KMX,Consumer Durables,Automotive Aftermarket
CCL,Consumer Services,Marine Transportation
CUK,Consumer Services,Marine Transportation
CRS,Basic Industries,Steel/Iron Ore
CSV,Consumer Services,Other Consumer Services
CARR,Capital Goods,Industrial Machinery/Components
CARS,Technology,EDP Services
CRI,Consumer Non-Durables,Apparel
CVNA,Consumer Durables,Automotive Aftermarket
CAS.U,,
CSPR,Consumer Durables,Home Furnishings
CSLT,Technology,EDP Services
CTLT,Health Care,Major Pharmaceuticals
CTT,Consumer Services,Real Estate Investment Trusts
CAT,Capital Goods,Construction/Ag Equipment/Trucks
CATO,Consumer Services,Clothing/Shoe/Accessory Stores
CBZ,Miscellaneous,Business Services
CBO,,
CBAH.U,,
IGR,,
CBRE,Finance,Real Estate
CBX,,
PCPL,Technology,EDP Services
PCPL.U,,
PCPL.WS,,
PRPB,Finance,Business Services
PRPB.U,,
PRPB.WS,,
FUN,Consumer Services,Services-Misc. Amusement & Recreation
CDR,Consumer Services,Real Estate Investment Trusts
CDR^B,,
CDR^C,,
CE,Basic Industries,Major Chemicals
CLS,Technology,Electrical Products
CELG~,,
CEL,Public Utilities,Telecommunications Equipment
CPAC,Capital Goods,Building Materials
CX,Capital Goods,Building Materials
CVE,Energy,Oil & Gas Production
CNC,Health Care,Medical Specialities
CEN,,
CNP,Public Utilities,Electric Utilities: Central
CNP^B,,
EBR,Public Utilities,Electric Utilities: Central
EBR.B,,
CEPU,Public Utilities,Electric Utilities: Central
CCS,Capital Goods,Homebuilding
LUMN,Public Utilities,Telecommunications Equipment
CTAC,Finance,Business Services
CTAC.U,,
CTAC.WS,,
CDAY,Technology,Computer Software: Prepackaged Software
CF,Basic Industries,Agricultural Chemicals
GIB,Consumer Services,Professional Services
ECOM          ,Technology,Computer Software: Prepackaged Software
CHRA,Basic Industries,Environmental Services
CRL,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CLDT,Consumer Services,Real Estate Investment Trusts
CMCM,Technology,Computer Software: Prepackaged Software
CHGG,Consumer Services,Other Consumer Services
CHE,Health Care,Medical/Nursing Services
CC,Basic Industries,Major Chemicals
