,Sector,industry,Market Cap,Enterprise Value,Shares Outstanding,PEG Ratio,Price/Book,Price/Sales,Forward P/E,Trailing P/E,Quarterly Revenue Growth,Average Dividend Yield,Held by Insiders,Held by Institutions,Gross Profit,EBITDA,EBIT_Q,EBIT_Y,Quarterly Earnings Growth,Total Cash,Diluted EPS,Quarterly Cash Growth,Cash,Net Income Q,Net Income Y
ALB,Basic Industries,Major Chemicals,19150000000.0,22000000000.0,106460000.0,3.9,4.6,5.9,42.5,50.1,-0.151,1.5,0.0032,0.8972,1260000000.0,853380000.0,155552000.0,761729000.0,-0.366,702070000.0,3.5,-0.04699767611063451,702073000.0,98301000.0,533228000.0
ACI,Consumer Services,Food Chains,8080000000.0,20730000000.0,465530000.0,1.3,5.8,0.1,10.6,7.6,0.09300000000000001,,0.1494,0.7363,17590000000.0,3870000000.0,244200000.0,1037500000.0,1.2570000000000001,1840000000.0,,-0.2316287244727151,1836100000.0,123700000.0,466400000.0
AA,Basic Industries,Aluminum,4330000000.0,5130000000.0,185930000.0,,1.2,0.4,140.8,,-0.079,,0.0055000000000000005,0.7692,1920000000.0,986000000.0,96000000.0,748000000.0,,1740000000.0,-2.5,0.7989637305699482,1736000000.0,-49000000.0,-1125000000.0
ALC,Health Care,Ophthalmic Goods,33680000000.0,36740000000.0,489200000.0,,1.8,4.9,35.8,,-0.016,,0.0001,0.5455,3660000000.0,1030000000.0,-7000000.0,100000000.0,,1420000000.0,-1.4,0.06419939577039276,1409000000.0,-147000000.0,-656000000.0
ALEX,Consumer Services,Real Estate Investment Trusts,1240000000.0,1910000000.0,72350000.0,,1.1,3.6,,114.5,-0.126,,0.0582,0.8558,99600000.0,89200000.0,1100000.0,37600000.0,,117100000.0,0.1,0.21725571725571727,117100000.0,3000000.0,-36400000.0
ALX,Consumer Services,Real Estate Investment Trusts,1380000000.0,2089999999.9999998,5110000.0,,6.6,6.9,,36.4,-0.247,4.8,0.5848,0.37,136610000.0,105910000.0,12078000.0,99489000.0,-0.6,355710000.0,7.4,-0.19504870956427287,355712000.0,6604000.0,60075000.0
ARE,Consumer Services,Real Estate Investment Trusts,23320000000.0,31320000000.0,144520000.0,,2.1,11.2,66.2,38.4,0.395,2.8,0.010700000000000001,0.9632999999999999,1100000000.0,1150000000.0,194633000.0,442505000.0,,446260000.0,4.3,1.1572802861838924,446255000.0,81056000.0,363165000.0
AQN,Public Utilities,Electric Utilities: Central,10160000000.0,14010000000.0,597030000.0,,2.2,5.6,22.6,20.6,0.028999999999999998,4.3,0.0016,0.544,709630000.0,651090000.0,88402000.0,351190000.0,-0.518,318160000.0,0.8,4.275126836223762,318164000.0,55851000.0,530884000.0
AQNA,Public Utilities,Electric Utilities: Central,,,,,,,,,,,,,,,,,,,,,,,
AQNB,Public Utilities,Electric Utilities: Central,,,,,,,,,,,,,,,,,,,,,,,
BABA,Miscellaneous,Business Services,672800000000.0,628250000000.0,2710000000.0,0.9,4.9,7.3,19.7,32.7,0.303,,0.0022,0.4386,230000000000.0,,13634000000.0,94660000000.0,-0.602,,9.3,-0.0250851206239269,301509000000.0,28876000000.0,149433000000.0
Y,Finance,Property-Casualty Insurers,8560000000.000001,9370000000.0,14130000.0,,1.0,1.0,12.1,152.5,0.168,,0.0326,0.8581,3600000000.0,239500000.0,191219000.0,1231093000.0,0.39899999999999997,1870000000.0,-2.2,-0.25539989507893585,1230579000.0,126522000.0,857801000.0
ATI,Basic Industries,Steel/Iron Ore,2340000000.0,3310000000.0,126820000.0,1.2,1.3,0.7,22.9,4.7,-0.413,,0.0077,0.9791,637800000.0,280800000.0,-18400000.0,297000000.0,,572200000.0,-3.1,0.061398627341866074,572200000.0,-50100000.0,257600000.0
ALLE,Consumer Services,Diversified Commercial Services,11040000000.0,12040000000.0,92040000.0,3.7,13.4,4.1,24.7,37.1,-0.027000000000000003,0.8,0.0036,0.9893000000000001,1250000000.0,610600000.0,169900000.0,568100000.0,0.11599999999999999,428900000.0,3.2,0.4183201058201058,428900000.0,146900000.0,401800000.0
ALE,Public Utilities,Power Generation,3220000000.0,5180000000.0,51970000.0,,1.4,2.7,19.4,18.1,0.019,3.2,0.0046,0.7336,435100000.0,384700000.0,45000000.0,187500000.0,0.304,79000000.0,3.4,2.0739299610894943,79000000.0,40700000.0,185600000.0
ADS,Miscellaneous,Business Services,3700000000.0,8060000000.000001,49620000.0,0.2,2.9,0.7,6.7,11.2,-0.26899999999999996,,0.0304,0.8311,1260000000.0,705500000.0,200600000.0,1058400000.0,,3080000000.0,6.2,-0.3793548387096774,3078400000.0,133300000.0,278000000.0
AFB,,,404440000.0,,28740000.0,,0.9,45.0,,46.9,-0.031,4.6,0.0,0.36579999999999996,25380000.0,,5307132.0,21264966.0,0.836,,0.3,,,19877880.0,8496621.0
AWF,,,1010000000.0,,86230000.0,,0.9,17.1,,17.3,-0.11900000000000001,7.3,0.0001,0.2445,69370000.0,,12945539.0,58205834.0,1.966,3230000.0,-0.2,0.0,3231845.0,77818539.0,-122629497.0
AB,Finance,Investment Managers,3360000000.0,,96170000.0,3.2,2.2,11.3,11.5,12.5,0.107,8.7,0.022000000000000002,0.1961,266290000.00000003,,73874000.0,266292000.0,0.12,,2.7,,,66999000.0,238563000.0
AIO,,,943540000.0,,34320000.0,,1.1,121.4,,124.9,,,0.001,0.11470000000000001,,,,,,,,,,,
CBH,,,181850000.0,,18260000.0,,1.0,19.0,,19.9,,,0.0001,0.2422,,,,,,,,,,,
NCV,,,531400000.0,,90370000.0,,1.0,11.6,,11.7,-0.23399999999999999,12.4,0.0,0.1495,54820000.0,,9318354.0,47883636.0,-0.001,87.0,0.4,0.0,872.0,17967914.0,44963061.0
NCV^A,,,,,,,,,,,,,,,,,,,,,,,,,
NCZ,,,394280000.0,,76120000.0,,1.0,11.2,,11.7,-0.231,12.4,0.0,0.21960000000000002,41710000.0,,7084153.0,36374828.0,-0.019,533.0,0.3,0.0,533.0,13540936.0,34677663.0
NCZ^A,,,,,,,,,,,,,,,,,,,,,,,,,
ACV,,,345200000.0,,10350000.0,,1.2,5.7,,5.7,,9.0,0.0,0.27390000000000003,,,,,,,,,,,
NFJ,Finance,Finance: Consumer Services,1290000000.0,,94800000.0,,1.0,25.2,,25.2,-0.265,8.6,0.0,0.3077,35500000.0,,3940077.0,22868466.0,,202.6,0.5,0.0,202602.0,-12126471.0,163425058.0
NIE,,,788040000.0,,27710000.0,,1.0,6.4,,6.4,,,0.0,0.33039999999999997,,,,,,,,,,,
ALSN,Capital Goods,Auto Parts:O.E.M.,4740000000.0,7010000000.0,112670000.0,16.6,6.3,2.2,10.6,14.0,-0.205,1.6,0.0066,1.0388,1390000000.0,748000000.0,131000000.0,905000000.0,-0.483,251000000.0,3.0,-0.4216589861751152,251000000.0,77000000.0,604000000.0
ALL,Finance,Property-Casualty Insurers,32960000000.0,41200000000.0,304070000.0,1.8,1.3,0.7,8.8,7.6,0.039,1.8,0.0043,0.8053,12490000000.0,8140000000.000001,1719000000.0,6557000000.0,0.23800000000000002,4930000000.0,14.2,-0.3235831809872029,370000000.0,1153000000.0,4847000000.0
ALL^B,,,,,,,,,,,,,,,,,,,,,,,,,
ALL^G,,,,,,,,,,,,,,,,,,,,,,,,,
ALL^H,,,,,,,,,,,,,,,,,,,,,,,,,
ALL^I,,,,,,,,,,,,,,,,,,,,,,,,,
ALLY,Finance,Major Banks,14790000000.0,,373860000.0,0.3,1.0,2.3,10.7,19.2,0.08900000000000001,,0.0067,0.9751000000000001,6380000000.0,,0.0,0.0,0.249,19960000000.0,2.0,0.042235115780670116,19939000000.0,476000000.0,1715000000.0
ALLY^A,,,,,,,,,,,,,,,,,,,,,,,,,
PINE,Consumer Services,Real Estate Investment Trusts,113750000.0,202620000.0,7460000.0,,0.8,9.2,42.3,226.5,0.509,,0.1153,0.7019,11190000.0,10800000.0,732736.0,3626588.0,-0.45299999999999996,1890000.0,,0.5369318019752921,1885906.0,546103.0,3591421.0
ALTG,Capital Goods,Industrial Machinery/Components,311290000.0,752790000.0,30020000.0,,2.7,0.3,,7.2,0.473,,0.2637,0.6148,152100000.0,65599999.99999999,-3500000.0,11700000.0,,100.0,,-0.984375,100000.0,300000.0,-35400000.0
ALTG.WS,,,,,,,,,,,,,,,,,,,,,,,,,
ALIN^A,,,,,,,,,,,,,,,,,,,,,,,,,
ALIN^B,,,,,,,,,,,,,,,,,,,,,,,,,
ALIN^E,,,,,,,,,,,,,,,,,,,,,,,,,
AYX,Technology,Computer Software: Prepackaged Software,,,54040000.0,,,,,,0.255,,0.0086,0.9412999999999999,378760000.0,23490000.0,9633000.0,38088000.0,,723210000.0,-0.2,-0.251398478642481,95952000.0,4357000.0,27143000.0
ATUS,Consumer Services,Television Services,,,377120000.0,,,,,,-0.002,,0.251,0.9543,6460000000.0,4190000000.0000005,589712000.0,1888515000.0,,119060000.0,0.1,-0.9390131455601078,119055000.0,-4695000.0,138936000.0
ATAC,Finance,Investment Managers,,,,,,,,,,,,,,,0.0,,,,,,,-5000.0,
ATAC.U,,,,,,,,,,,,,,,,,,,,,,,,,
ATAC.WS,,,,,,,,,,,,,,,,,,,,,,,,,
MO,Consumer Non-Durables,Farming/Seeds/Milling,,,1860000000.0,,,,,,0.049,5.3,0.0011,0.631,12710000000.0,11840000000.0,3198000000.0,10810000000.0,,4120000000.0,0.3,-0.14566929133858267,4123000000.0,-952000000.0,-1293000000.0
ACH,Basic Industries,Aluminum,,,680910000.0,,,,,,-0.035,,0.0,0.015600000000000001,12610000000.0,,2053062000.0,5544564000.0,3.0060000000000002,,0.3,-0.19181180739678927,8062445000.0,416063000.0,850999000.0
ALUS,Finance,Business Services,,,28750000.0,,,,,,,,0.0,0.9539,,,-324347.0,-207554.0,,1110000.0,,-0.2071791940554444,1109632.0,-175288.0,359499.0
ALUS.U,,,,,,,,,,,,,,,,,,,,,,,,,
ALUS.WS,,,,,,,,,,,,,,,,,,,,,,,,,
AMBC,Finance,Property-Casualty Insurers,,,45810000.0,,,,,,-0.267,,0.0089,0.8073,348000000.0,-229000000.0,-65000000.0,-51000000.0,,718000000.0,-11.5,1.1764705882352942,37000000.0,-108000000.0,-216000000.0
AMBC.WS,,,,,,,,,,,,,,,,,,,,,,,,,
ABEV,Consumer Non-Durables,Beverages (Production/Distribution),,,15730000000.0,,,,,,0.305,2.7,0.0,0.0861,30920000000.0,,3677436000.0,16336142000.0,-0.08900000000000001,,0.176,0.24207291814324622,21660450000.0,2274801000.0,11779965000.0
